-19.051071, -65.269130
-19.051335, -65.268599
-19.051419, -65.268473
-19.051928, -65.268033
-19.052288, -65.267316
-19.052328, -65.267329
-19.052374, -65.267320
-19.052527, -65.267045
-19.052524, -65.266936
-19.052610, -65.266890
-19.052669, -65.266880
-19.052722, -65.266884
-19.053346, -65.267164
-19.053656, -65.266713
-19.052480, -65.265770
-19.052091, -65.265446
-19.051586, -65.265083
-19.050465, -65.264211
-19.050081, -65.263887
-19.048973, -65.262935
-19.046851, -65.261063
-19.046270, -65.260602
-19.044772, -65.262501
-19.044398, -65.262170
-19.043921, -65.262768
-19.043465, -65.263283
-19.043032, -65.262873
-19.042737, -65.262658
-19.042268, -65.262312
-19.042038, -65.262160
-19.042765, -65.261062
-19.043589, -65.259979
-19.044360, -65.258887
-19.043909, -65.258506
-19.043280, -65.257997
-19.042459, -65.257278
-19.041591, -65.256623
-19.041447, -65.256479
-19.040473, -65.255620
-19.039733, -65.255019
-19.038921, -65.254328
-19.039674, -65.253867
-19.039754, -65.253820
-19.040635, -65.253307
-19.041535, -65.252783
-19.041051, -65.251852
-19.040564, -65.250935
-19.040059, -65.249940
-19.039637, -65.249229
-19.039426, -65.248736
-19.039181, -65.247438
-19.039036, -65.246478
-19.038808, -65.245608
-19.038719, -65.245421
-19.038458, -65.244984
-19.038471, -65.244930
-19.038471, -65.244874
-19.038422, -65.244817
-19.038362, -65.244809
-19.037461, -65.244410
-19.036582, -65.244005
-19.036391, -65.243935
-19.035664, -65.243766
-19.035578, -65.243771
-19.035294, -65.243857
-19.034845, -65.244131
-19.034026, -65.244479
-19.032925, -65.244828
-19.032228, -65.245043
-19.031232, -65.245182
-19.030823, -65.245228
-19.029644, -65.245426
-19.020629, -65.248789
-19.020581, -65.248754
-19.020510, -65.248781
-19.020473, -65.248823
-19.020470, -65.248862
-19.020107, -65.249022
-19.019429, -65.249342
-19.018706, -65.249668
-19.018186, -65.249911
-19.017726, -65.250132
-19.017363, -65.250269
-19.017016, -65.250339
-19.016632, -65.250320
-19.016650, -65.250580
